"TP","FP","TN","FN","precision","recall","F1"
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,4,0,2,0,0,0
0,2,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
2,0,0,0,1,1,1
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,2,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,2,0,2,0,0,0
0,4,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,2,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,3,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
2,0,0,0,1,1,1
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
0,3,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
1,3,0,1,0.25,0.5,0.333333333333333
1,1,0,1,0.5,0.5,0.5
0,4,0,2,0,0,0
0,4,0,2,0,0,0
0,4,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
1,3,0,1,0.25,0.5,0.333333333333333
1,3,0,1,0.25,0.5,0.333333333333333
1,2,0,1,0.333333333333333,0.5,0.4
1,3,0,1,0.25,0.5,0.333333333333333
0,4,0,2,0,0,0
0,4,0,2,0,0,0
2,0,0,0,1,1,1
